Rep	State
7. Mike Capuano (D)	MA
8. Stephen Lynch (D)	MA
9. Bill Keating (D)	MA
1. Dan Benishek (R)	MI
2. Bill Huizenga (R)	MI
3. Justin Amash (R)	MI
4. John Moolenaar (R)	MI
5. Dan Kildee (D)	MI
6. Fred Upton (R)	MI
7. Tim Walberg (R)	MI
8. Mike Bishop (R)	MI
9. Sander Levin (D)	MI
10. Candice Miller (R)	MI
11. Dave Trott (R)	MI
12. Debbie Dingell (D)	MI
13. John Conyers (D)	MI
14. Brenda Lawrence (D)	MI
1. Tim Walz (D)	MN
2. John Kline (R)	MN
3. Erik Paulsen (R)	MN
4. Betty McCollum (D)	MN
5. Keith Ellison (D)	MN
6. Tom Emmer (R)	MN
7. Collin Peterson (D)	MN
8. Rick Nolan (D)	MN
1. Trent Kelly (R)	MS
2. Bennie Thompson (D)	MS
3. Gregg Harper (R)	MS
4. Steven Palazzo (R)	MS
1. Lacy Clay (D)	MO
2. Ann Wagner (R)	MO
3. Blaine Luetkemeyer (R)	MO
4. Vicky Hartzler (R)	MO
5. Emanuel Cleaver (D)	MO
6. Sam Graves (R)	MO
7. Billy Long (R)	MO
8. Jason Smith (R)	MO
At-large. Ryan Zinke (R)	MT
1. Jeff Fortenberry (R)	NE
2. Brad Ashford (D)	NE
3. Adrian Smith (R)	NE
1. Dina Titus (D)	NV
2. Mark Amodei (R)	NV
3. Joe Heck (R)	NV
4. Cresent Hardy (R)	NV
1. Frank Guinta (R)	NH
2. Ann McLane Kuster (D)	NH
1. Donald Norcross (D)	NJ
2. Frank LoBiondo (R)	NJ
3. Tom MacArthur (R)	NJ
4. Chris Smith (R)	NJ
5. Scott Garrett (R)	NJ
6. Frank Pallone (D)	NJ
7. Leonard Lance (R)	NJ
8. Albio Sires (D)	NJ
9. Bill Pascrell (D)	NJ
10. Donald Payne (D)	NJ
11. Rodney Frelinghuysen (R)	NJ
12. Bonnie Watson Coleman (D)	NJ
1. Michelle Lujan Grisham (D)	NM
2. Steve Pearce (R)	NM
3. Ben Ray Luján (D)	NM
1. Lee Zeldin (R)	NY
2. Peter King (R)	NY
3. Steve Israel (D)	NY
4. Kathleen Rice (D)	NY
5. Gregory Meeks (D)	NY
6. Grace Meng (D)	NY
7. Nydia Velázquez (D)	NY
8. Hakeem Jeffries (D)	NY
9. Yvette Clarke (D)	NY
10. Jerrold Nadler (D)	NY
11. Daniel Donovan (R)	NY
12. Carolyn Maloney (D)	NY
13. Charles Rangel (D)	NY
14. Joseph Crowley (D)	NY
15. José E. Serrano (D)	NY
16. Eliot Engel (D)	NY
17. Nita Lowey (D)	NY
18. Sean Patrick Maloney (D)	NY
19. Chris Gibson (R)	NY
20. Paul Tonko (D)	NY
21. Elise Stefanik (R)	NY
22. Richard Hanna (R)	NY
23. Thomas Reed (R)	NY
24. John Katko (R)	NY
25. Louise Slaughter (D)	NY
26. Brian Higgins (D)	NY
27. Chris Collins (R)	NY
1. G. K. Butterfield (D)	NC
2. Renee Ellmers (R)	NC
3. Walter Jones (R)	NC
4. David Price (D)	NC
5. Virginia Foxx (R)	NC
6. Mark Walker (R)	NC
7. David Rouzer (R)	NC
8. Richard Hudson (R)	NC
9. Robert Pittenger (R)	NC
10. Patrick McHenry (R)	NC
11. Mark Meadows (R)	NC
12. Alma Adams (D)	NC
13. George Holding (R)	NC
At-large. Kevin Cramer (R)	ND
1. Steve Chabot (R)	OH
2. Brad Wenstrup (R)	OH
3. Joyce Beatty (D)	OH
4. Jim Jordan (R)	OH
5. Bob Latta (R)	OH
6. Bill Johnson (R)	OH
7. Bob Gibbs (R)	OH
8. John Boehner (R)	OH
9. Marcy Kaptur (D)	OH
10. Mike Turner (R)	OH
11. Marcia Fudge (D)	OH
12. Pat Tiberi (R)	OH
13. Tim Ryan (D)	OH
14. David Joyce (R)	OH
15. Steve Stivers (R)	OH
16. Jim Renacci (R)	OH
1. Jim Bridenstine (R)	OK
2. Markwayne Mullin (R)	OK
3. Frank Lucas (R)	OK
4. Tom Cole (R)	OK
5. Steve Russell (R)	OK
1. Suzanne Bonamici (D)	OR
2. Greg Walden (R)	OR
3. Earl Blumenauer (D)	OR
4. Peter DeFazio (D)	OR
5. Kurt Schrader (D)	OR
1. Bob Brady (D)	PA
2. Chaka Fattah (D) PA
3. Mike Kelly (R)	PA
4. Scott Perry (R)	PA
5. Glenn Thompson (R)	PA
6. Ryan Costello (R)	PA
7. Pat Meehan (R)	PA
8. Mike Fitzpatrick (R)	PA
9. Bill Shuster (R)	PA
10. Tom Marino (R)	PA
11. Lou Barletta (R)	PA
12. Keith Rothfus (R)	PA
13. Brendan Boyle (D)	PA
14. Michael Doyle (D)	PA
15. Charles Dent (R)	PA
16. Joe Pitts (R)	PA
17. Matt Cartwright (D)	PA
18. Tim Murphy (R)	PA
1. David Cicilline (D)	RI
2. James Langevin (D)	RI
1. Mark Sanford (R)	SC
2. Joe Wilson (R)	SC
3. Jeff Duncan (R)	SC
4. Trey Gowdy (R)	SC
5. Mick Mulvaney (R)	SC
6. Jim Clyburn (D)	SC
7. Tom Rice (R)	SC
At-large. Kristi Noem (R)	SD
1. Phil Roe (R)	TN
2. Jimmy Duncan (R)	TN
3. Chuck Fleischmann (R)	TN
4. Scott DesJarlais (R)	TN
5. Jim Cooper (D)	TN
6. Diane Black (R)	TN
7. Marsha Blackburn (R)	TN
8. Stephen Fincher (R)	TN
9. Steve Cohen (D)	TN
1. Louie Gohmert (R)	TX
2. Ted Poe (R)	TX
3. Sam Johnson (R)	TX
4. John Ratcliffe (R)	TX
5. Jeb Hensarling (R)	TX
6. Joe Barton (R)	TX
7. John Culberson (R)	TX
8. Kevin Brady (R)	TX
9. Al Green (D)	TX
10. Michael McCaul (R)	TX
11. Mike Conaway (R)	TX
12. Kay Granger (R)	TX
13. Mac Thornberry (R)	TX
14. Randy Weber (R)	TX
15. Ruben Hinojosa (D)	TX
16. Beto O'Rourke (D)	TX
17. Bill Flores (R)	TX
18. Sheila Jackson Lee (D)	TX
19. Randy Neugebauer (R)	TX
20. Joaquin Castro (D)	TX
21. Lamar Smith (R)	TX
22. Pete Olson (R)	TX
23. Will Hurd (R)	TX
24. Kenny Marchant (R)	TX
25. Roger Williams (R)	TX
26. Michael Burgess (R)	TX
27. Blake Farenthold (R)	TX
28. Henry Cuellar (D)	TX
29. Gene Green (D)	TX
30. Eddie Bernice Johnson (D)	TX
31. John Carter (R)	TX
32. Pete Sessions (R)	TX
33. Marc Veasey (D)	TX
34. Filemon Vela (D)	TX
35. Lloyd Doggett (D)	TX
36. Brian Babin (R)	TX
1. Rob Bishop (R)	UT
2. Chris Stewart (R)	UT
3. Jason Chaffetz (R)	UT
4. Mia Love (R)	UT
At-large. Peter Welch (D)	VT
1. Rob Wittman (R)	VA
2. Scott Rigell (R)	VA
3. Bobby Scott (D)	VA
4. Randy Forbes (R)	VA
5. Robert Hurt (R)	VA
6. Bob Goodlatte (R)	VA
7. Dave Brat (R)	VA
8. Don Beyer (D)	VA
9. Morgan Griffith (R)	VA
10. Barbara Comstock (R)	VA
11. Gerry Connolly (D)	VA
1. Suzan DelBene (D)	WA
2. Rick Larsen (D)	WA
3. Jaime Herrera Beutler (R)	WA
4. Dan Newhouse (R)	WA
5. Cathy McMorris Rodgers (R)	WA
6. Derek Kilmer (D)	WA
7. Jim McDermott (D)	WA
8. Dave Reichert (R)	WA
9. Adam Smith (D)	WA
10. Dennis Heck (D)	WA
1. David McKinley (R)	WV
2. Alex Mooney (R)	WV
3. Evan Jenkins (R)	WV
1. Paul Ryan (R)	WI
2. Mark Pocan (D)	WI
3. Ron Kind (D)	WI
4. Gwen Moore (D)	WI
5. Jim Sensenbrenner (R)	WI
6. Glenn Grothman (R)	WI
7. Sean Duffy (R)	WI
8. Reid Ribble (R)	WI
At-large. Cynthia Lummis (R)	WY
